rec_id,city,budget,purpose,focus,car_id,car_name,brand_name,energy_type,price,category,range,power,rank,match_score
1,北京,5-10万,通勤,"续航,动力,性价比,空间",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.13
2,北京,5-10万,通勤,"续航,动力,性价比,空间",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.4
3,北京,5-10万,通勤,"续航,动力,性价比,空间",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,7.86
4,北京,5-10万,通勤,"续航,动力,性价比,空间",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.7
5,北京,5-10万,家用,"价格,空间,续航,舒适性",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,8.9
6,北京,5-10万,家用,"价格,空间,续航,舒适性",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.39
7,北京,5-10万,家用,"价格,空间,续航,舒适性",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,8.06
8,北京,5-10万,家用,"价格,空间,续航,舒适性",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.39
9,北京,5-10万,商务,"价格,动力,续航,性价比",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.14
10,北京,5-10万,商务,"价格,动力,续航,性价比",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.49
11,北京,5-10万,商务,"价格,动力,续航,性价比",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,7.98
12,北京,5-10万,商务,"价格,动力,续航,性价比",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.52
13,北京,5-10万,长途,"空间,性价比,续航,智能化",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,1,9.03
14,北京,5-10万,长途,"空间,性价比,续航,智能化",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,2,8.55
15,北京,5-10万,长途,"空间,性价比,续航,智能化",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,3,8.16
16,北京,5-10万,长途,"空间,性价比,续航,智能化",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,4,7.69
17,北京,5-10万,越野,"智能化,舒适性,动力,品牌",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,8.97
18,北京,5-10万,越野,"智能化,舒适性,动力,品牌",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.45
19,北京,5-10万,越野,"智能化,舒适性,动力,品牌",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,8.17
20,北京,5-10万,越野,"智能化,舒适性,动力,品牌",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.39
21,北京,10-20万,通勤,"舒适性,价格,性价比,续航",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,8.93
22,北京,10-20万,通勤,"舒适性,价格,性价比,续航",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.63
23,北京,10-20万,通勤,"舒适性,价格,性价比,续航",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,3,8.08
24,北京,10-20万,通勤,"舒适性,价格,性价比,续航",6,星瑞,吉利,燃油,131700,轿车,0,140.0,4,7.62
25,北京,10-20万,通勤,"舒适性,价格,性价比,续航",7,博越L,吉利,燃油,148200,SUV,0,160.0,5,7.03
26,北京,10-20万,通勤,"舒适性,价格,性价比,续航",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,6,6.34
27,北京,10-20万,通勤,"舒适性,价格,性价比,续航",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,7,6.17
28,北京,10-20万,通勤,"舒适性,价格,性价比,续航",11,UNI-V,长安,燃油,124400,轿车,0,138.0,8,5.69
29,北京,10-20万,家用,"性价比,智能化,动力,价格",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,9.12
30,北京,10-20万,家用,"性价比,智能化,动力,价格",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.54
31,北京,10-20万,家用,"性价比,智能化,动力,价格",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,3,8.09
